PC1,PC2,source,week
0.21656342863349262,-8.888916676805477,df4,9
64.14038452882914,-3.9622708689772073,df4,9
-8.006444896419058,-9.645139548604412,df4,9
-3.7398525749979616,5.851238012712315,df4,9
-6.500595342657719,-8.753665311102488,df4,9
-6.946069295242043,-4.02631260661344,df4,9
-5.215611367161768,3.46251528902821,df4,9
0.7863473489795939,-8.379374315459806,df4,9
-7.126652804299624,-8.81291669465831,df4,9
-6.828277008322274,-6.477612702832947,df4,9
-4.358933272995304,6.9313111077452305,df4,9
-6.324076517873372,-9.39342350780802,df4,9
-6.3893827874634805,-3.906766331467401,df4,9
-6.063184978937243,-2.5097883501103504,df4,9
-7.881989356045797,-8.301681407934202,df4,9
-3.1919797542356063,13.29284865708514,df4,9
-7.251434165398252,-3.4051316847356983,df4,9
25.956650806054668,-6.181751813602576,df4,9
-6.401273316192775,-2.5285753424301123,df4,9
-5.856325414548861,1.0242236756601546,df4,9
-6.416431538160501,-2.899794532254695,df4,9
-5.914025440994523,-9.336854151375746,df4,9
